,Keyword Entity Name,QID SPARQL,Score SPARQL,QID Pywikibot,Score Pywikibot,QID Benchmark,Score Benchmark,Comment
93,numerical example,N/A,,N/A,,N/A,0,
94,software package homesh,N/A,,N/A,,N/A,0,
95,hybrid triangular linear element,N/A,,N/A,,N/A,0,
96,hybrid 6 quadrilateral quadratic element,N/A,,N/A,,N/A,0,
97,automatic generation highorder finite element,N/A,,N/A,,N/A,0,
98,twodimensional hyperbolic grid generator,N/A,,N/A,,N/A,0,
99,quadrilateral quadratic element,N/A,,N/A,,Q48969845,2,
100,geodesic curve,Q213488,1,N/A,0,Q213488,2,
101,distortion measure,N/A,,N/A,,N/A,0,
102,inverse mapping,Q191884,2,N/A,0,Q191884,2,
103,isoparametric quadrilateral hybrid stress four eightnode element,N/A,,N/A,,Q191884,2,
104,geometrically exact beam finite strain formulation,N/A,,N/A,,N/A,0,
105,abstract infinitedimensional manifold mapping,N/A,,N/A,,N/A,0,
106,configuration space,Q41636387,2,Q41642869,2,Q41636387,2,
107,linearization algorithm,N/A,,N/A,,N/A,0,
108,hybrid stress membrane element curved boundary,N/A,,N/A,,N/A,0,
109,eightnode isoparametric element,N/A,,N/A,,N/A,0,
110,geodesic coordinate,N/A,,N/A,,N/A,0,
111,generalized taylor series method,N/A,,N/A,,N/A,0,
112,characteristic euler flux resolution,N/A,,N/A,,N/A,0,
113,subgrid embedded highdegree lagrange base static condensation,N/A,,N/A,,N/A,0,
114,assembledstencil fourier analysis optimization,N/A,,N/A,,N/A,0,
115,steady convectiondiffusion,N/A,,N/A,,N/A,0,
116,unsteady convection,N/A,,N/A,,N/A,0,
117,monotone method,N/A,,N/A,,N/A,0,
118,laplace transform,N/A,0,Q199691,2,Q199691,2,
119,convectiondiffusion equation,N/A,,N/A,,Q343279,2,
120,firstorder kinetics,N/A,,N/A,,N/A,0,
121,integrodifferential approach,N/A,,N/A,,N/A,0,
122,preconditioned projection,N/A,,N/A,,N/A,0,
123,shape memory material,N/A,,N/A,,Q98108610,2,
124,micromechanical model,N/A,,N/A,,N/A,0,
125,pragertype criterion,N/A,,N/A,,Q421507,1,
126,belleville washer electrical contract,N/A,,N/A,,N/A,0,
127,medical instrument noninvasive surgery,N/A,,N/A,,N/A,0,
128,error indicator,N/A,,N/A,,N/A,0,
129,error estimator,N/A,,N/A,,N/A,0,
130,contact area,Q5164821,2,Q5164821,2,Q5164821,2,
131,automatic mesh refinement,N/A,,N/A,,Q4680751,1,
132,bsplines,N/A,,N/A,,Q2083109,2,
133,mesh embedding,N/A,,N/A,,N/A,0,
134,galerkin method,N/A,0,Q1491980,2,Q1491980,2,
135,poisson equation,N/A,,N/A,,Q827688,2,
136,collocation,Q1122269,2,Q1122269,2,Q1122269,2,
137,advection equation,N/A,,N/A,,Q379788,2,
138,galerkin boundary element method,N/A,,N/A,,Q1491980,1,
139,linearly elastic isotropic threedimensional solid,N/A,,N/A,,N/A,0,
140,displacement integral equation,N/A,,N/A,,N/A,0,
141,traction integral equation,N/A,,N/A,,N/A,0,
142,cracktip element,N/A,,N/A,,N/A,0,
143,porous viscoplastic solid,N/A,,N/A,,N/A,0,
144,finite strain,N/A,,N/A,,Q15300737,1,
145,material strain,N/A,,N/A,,Q2353244,1,
146,strainrate hardening,N/A,,N/A,,N/A,0,
147,thermal softening,N/A,,N/A,,N/A,0,
148,adiabatic heating,N/A,,N/A,,Q182453,1,
149,critical void volume fraction criterion,N/A,,N/A,,N/A,0,
150,finite element semidiscretization,N/A,,N/A,,N/A,0,
151,explicit central difference scheme,N/A,,N/A,,N/A,0,
152,direct differentiation approach,N/A,,N/A,,N/A,0,
153,automatic differentiation software,N/A,,N/A,,Q787371,1,
154,impact loading,N/A,,N/A,,N/A,0,
155,regularity result,N/A,,N/A,,N/A,0,
156,cowinhegedus model,N/A,,N/A,,N/A,0,
157,fixed point argument,N/A,,N/A,,Q1422068,1,
158,adjustable scheme,N/A,,N/A,,N/A,0,
159,six implicitness parameter,N/A,,N/A,,N/A,0,
160,static equilibrium nonneutral plasma column,N/A,,N/A,,N/A,0,
161,stream function,N/A,0,Q2029236,2,Q2029236,2,
162,`` laplace equation '',N/A,,N/A,,Q339444,2,
163,boundary potential,N/A,,N/A,,N/A,0,
164,acoustic oscillation flattening,N/A,,N/A,,N/A,0,
165,bunsen flame,N/A,,N/A,,N/A,0,
166,viscous term,N/A,,N/A,,N/A,0,
167,cell interface,N/A,,N/A,,N/A,0,
168,rankinehugoniot condition,N/A,,N/A,,Q1192131,2,
169,linearized riemann solver,N/A,,N/A,,Q6153788,1,
170,steady premixed laminar flame,N/A,,N/A,,Q4563566,1,
171,steady twodimensional channel flow injection,N/A,,N/A,,N/A,0,
172,lagrangian large eddy simulation,N/A,,N/A,,N/A,0,
173,filtered vorticity transport equation,N/A,,N/A,,N/A,0,
174,subfilter scale velocity,N/A,,N/A,,N/A,0,
175,vorticity fluctuation,N/A,,N/A,,N/A,0,
176,dynamic eddy diffusivity model,N/A,,N/A,,N/A,0,
177,dirac operator,N/A,0,Q907439,2,Q907439,2,
178,biquaternions,Q2590607,2,N/A,0,Q2590607,2,
179,electromagnetic potential,N/A,,N/A,,N/A,0,
180,quaternionic representation,Q7269569,2,Q7269569,2,Q7269569,2,
181,decomposition,Q2277040,0,Q339062,2,Q296949,2,
182,eikonal equation,N/A,0,Q1303846,2,Q1303846,2,
183,toeplitz family,N/A,,N/A,,N/A,0,
184,index theory,N/A,,N/A,,N/A,0,
185,kgroup,N/A,,N/A,,Q6322836,2,
186,spectral flow,N/A,,N/A,,N/A,0,
187,hilbertschmidt operatorvalued stationary process,N/A,,N/A,,N/A,0,
188,subordination,Q6014822,0,Q1319775,2,Q1319775,2,
189,spectral measure,N/A,,N/A,,N/A,0,
190,orthogonal projection,Q980329,2,N/A,0,Q519967,1,
191,spherically symmetric distribution,N/A,,N/A,,N/A,0,
192,elliptically contoured distribution,N/A,,N/A,,N/A,0,
193,serial covariance,N/A,,N/A,,N/A,0,
194,moment,Q13222844,2,Q1451745,2,Q13222844,2,
195,cone,Q22710,2,Q42344,2,Q42344,2,
196,random field,Q5361768,2,Q5361768,2,Q5361768,2,
197,strong closure,N/A,,N/A,,N/A,0,
198,feasible state,N/A,,N/A,,N/A,0,
199,elliptic operator,Q427625,0,Q427625,0,Q427625,2,
200,system elliptic equation,N/A,,N/A,,N/A,0,
201,deltarelated operator,N/A,,N/A,,N/A,0,
202,factorization theory,N/A,,N/A,,N/A,0,
203,generalized inverse,Q370634,2,Q370634,2,Q370634,2,
204,relation operator matrix,N/A,,N/A,,N/A,0,
205,delta relation,N/A,,N/A,,N/A,0,
206,invertibility symbol,N/A,,N/A,,N/A,0,
207,generalized inversion,N/A,,N/A,,Q370634,2,
208,singular integral operator carleman shift,N/A,,N/A,,N/A,0,
209,convolution equation,N/A,,N/A,,Q57822059,1,
210,neutral system,N/A,,N/A,,N/A,0,
211,bounded solution,N/A,,N/A,,N/A,0,
212,almost periodic function,Q1066983,2,Q1066983,2,Q1066983,2,
213,banach space,N/A,0,Q194397,2,Q194397,2,
214,stokes system,N/A,,N/A,,N/A,0,
215,maximum modulus theorem,N/A,,N/A,,Q1050230,2,
216,stokespoisson integral formula,N/A,,N/A,,N/A,0,
217,weighted function space,N/A,,N/A,,N/A,0,
218,local space,N/A,,N/A,,N/A,0,
219,solvability property,N/A,,N/A,,N/A,0,
220,theory stochastic differentiation,N/A,,N/A,,N/A,0,
221,twoscale convergence,N/A,,N/A,,N/A,0,
222,darcytype law,N/A,,N/A,,Q392416,1,
223,twopressure stokes system,N/A,,N/A,,N/A,0,
224,cuspidal domain,N/A,,N/A,,N/A,0,
225,existence,Q1,,Q468777,2,Q468777,2,
226,fredholm character,N/A,,N/A,,N/A,0,
227,unique solvability,N/A,,N/A,,N/A,0,
228,boundary integral equation,N/A,,N/A,,N/A,0,
229,dirichlet problem,N/A,0,Q1192869,2,Q1192869,2,
230,neumann problem,N/A,,N/A,,N/A,0,
231,integral operator,Q43230999,2,Q43230999,2,Q43230999,2,
232,continuity,Q16206641,2,Q382618,2,Q382618,2,
233,range,Q46831,1,Q438399,2,Q438399,2,
234,injectivity,N/A,,N/A,,N/A,0,
235,exterior dirichlet problem,N/A,,N/A,,Q58294791,1,
236,outward peak,N/A,,N/A,,N/A,0,
237,stability estimate,N/A,,N/A,,N/A,0,
238,kontorovichlebedev transform,N/A,,N/A,,Q6430373,2,
239,macdonald function,N/A,,N/A,,N/A,0,
240,regularization,Q17143721,2,Q421316,2,Q17143721,2,
241,inversion formula,N/A,,N/A,,N/A,0,
242,lebedevskalskaya transform,N/A,,N/A,,N/A,0,
243,fractional brownian motion,N/A,,N/A,,Q1143293,2,
244,discrete time approximation,N/A,,N/A,,N/A,0,
245,market area problem,N/A,,N/A,,N/A,0,
246,set partitioning,N/A,,N/A,,N/A,0,
247,transportation problem,N/A,,N/A,,N/A,0,
248,transportation flow problem,N/A,,N/A,,N/A,0,
249,two discontinuity ray,N/A,,N/A,,N/A,0,
250,nonclassical wave,N/A,,N/A,,N/A,0,
251,diraccontact wave,N/A,,N/A,,N/A,0,
252,class linear map operator space,N/A,,N/A,,N/A,0,
253,pisier vectorvalued noncommutative l^pspaces,N/A,,N/A,,N/A,0,
254,schatten class,N/A,,N/A,,Q2231600,2,
255,pnuclear map,N/A,,N/A,,N/A,0,
256,banach operator ideal,N/A,,N/A,,N/A,0,
257,category operator space,N/A,,N/A,,N/A,0,
258,noncommutative quantized functional analysis,N/A,,N/A,,N/A,0,
259,w^*algebras,N/A,,N/A,,Q1970172,2,
260,quantum field theory,Q257189,1,Q54505,2,Q54505,2,
261,principal bimodules,N/A,,N/A,,N/A,0,
262,nest algebra,N/A,0,Q6997759,2,Q6997759,2,
263,closed countably generated bimodules,N/A,,N/A,,N/A,0,
264,nest element,N/A,,N/A,,N/A,0,
265,ncategories,N/A,,N/A,,N/A,0,
266,opetopes,N/A,,N/A,,Q48970630,2,
267,coherent algebra,N/A,0,Q56289856,2,Q56289856,2,
268,slice operad,N/A,,N/A,,N/A,0,
269,supersymmetric function,N/A,,N/A,,N/A,0,
270,connection coefficient,N/A,,N/A,,N/A,0,
271,isotropic submanifold,N/A,,N/A,,N/A,0,
272,integral representation,N/A,,N/A,,N/A,0,
273,quasimodes,N/A,,N/A,,Q7269502,2,
274,geometric quantization,Q630426,2,Q630426,2,Q630426,2,
275,symplectic connection,N/A,,N/A,,N/A,0,
276,factor space,N/A,,N/A,,N/A,0,
277,lebesgue space,N/A,0,Q6511321,2,Q6511321,2,
278,stochastically independent,Q625303,,N/A,,Q625303,1,
279,stochastically commuting,N/A,,N/A,,N/A,0,
280,holomorphic dynamic,N/A,,N/A,,N/A,0,
281,quasiconformal,N/A,,N/A,,Q380576,1,
282,teichmüller space,N/A,0,Q2400539,2,Q2400539,2,
283,rational map,N/A,,N/A,,Q987226,2,
284,fatou set,N/A,0,Q3054872,2,Q3054872,2,
285,julia set,N/A,0,Q848427,2,Q848427,2,
286,bott periodicity,N/A,,N/A,,Q4948983,2,
287,crossed product,N/A,0,Q3406705,2,Q3406705,2,
288,compact group,Q1887083,2,Q1887083,2,Q1887083,2,
289,grothendieck group,N/A,0,Q1128678,2,Q1128678,2,
290,complex gvector bundle,N/A,,N/A,,Q18705746,2,
291,reduced equivariant ktheory,N/A,,N/A,,N/A,0,
292,mathbb { } /2graded c^*algebra,N/A,,N/A,,Q263809,1,
293,clifford algebra,N/A,0,Q674689,2,Q674689,2,
294,novikov conjecture,N/A,0,Q7064908,2,Q7064908,2,
295,homotopy invariance higher signature,N/A,,N/A,,N/A,0,
296,schur complex,N/A,,N/A,,N/A,0,
297,koszul complex,N/A,0,Q6433699,2,Q6433699,2,
298,row convex shape,N/A,,N/A,,N/A,0,
299,autocovariance operator,N/A,,N/A,,Q786973,1,
300,linear stochastic difference equation,N/A,,N/A,,Q1545585,1,
301,continued fraction,N/A,0,Q206816,2,Q206816,2,
302,semisimple lie group,N/A,,N/A,,Q15819036,2,
303,abel transform,N/A,0,Q4666656,2,Q4666656,2,
304,fourier multiplier,N/A,,N/A,,Q6935014,1,
305,zonal spherical function,N/A,0,Q8073863,2,Q8073863,2,
306,radial maximal operator,N/A,,N/A,,N/A,0,
307,heat poisson maximal operator,N/A,,N/A,,N/A,0,
308,riesz transform,N/A,0,Q7333169,2,Q7333169,2,
309,müntzszasz theorem,N/A,,N/A,,Q3527129,2,
310,fourier transform,N/A,0,Q6520159,2,Q6520159,2,
311,nilpotent lie group,N/A,,N/A,,Q15148889,2,
312,unitary representation,Q10359539,2,Q10359539,2,Q10359539,2,
313,orbit method,Q7100049,2,Q7100049,2,Q7100049,2,
314,operator space,N/A,0,Q7097841,2,Q7097841,2,
315,completely bounded mapping,N/A,,N/A,,N/A,0,
316,bimodule,Q2903821,2,Q2903821,2,Q2903821,2,
317,relative yoneda cohomology,N/A,,N/A,,N/A,0,
318,hochschild cohomology,N/A,,N/A,,Q1622047,1,
319,relative injectivity,N/A,,N/A,,N/A,0,
320,projectivity,N/A,,N/A,,Q2112539,0,
321,amenability,N/A,,N/A,,N/A,0,
322,derived functor realization,N/A,,N/A,,N/A,0,
323,sznagyfoias commutant lifting theorem,N/A,,N/A,,N/A,0,
324,fractional integral,N/A,,N/A,,Q1339058,1,
325,radon transforms,N/A,,N/A,,Q979829,2,
326,spherical convolution,N/A,,N/A,,N/A,0,
327,beltramilaplace operator,N/A,,N/A,,Q1071846,2,
328,analytical continuation,N/A,,N/A,,Q485287,2,
329,spherical fourier multiplier,N/A,,N/A,,N/A,0,
330,spherical multilinear convolution,N/A,,N/A,,N/A,0,
331,csl algebra,N/A,,N/A,,N/A,0,
332,csm space,N/A,,N/A,,N/A,0,
333,maximal abelian selfadjoint algebra,N/A,,N/A,,Q4666687,1,
334,inner function,Q3075246,1,N/A,0,N/A,0,
335,invariant subspace,Q2706744,2,Q2706744,2,Q2706744,2,
336,carleson measure,N/A,0,Q5041178,2,Q5041178,2,
337,embedding theorem,N/A,,N/A,,N/A,0,
338,hardy space,N/A,0,Q1585233,2,Q1585233,2,
339,logsobolev inequality,N/A,,N/A,,Q97610260,2,
340,loop space,Q2066070,2,Q2066070,2,Q2066070,2,
341,riemannian manifold,N/A,0,Q632814,2,Q632814,2,
342,heat kernel,Q3345669,2,Q3345669,2,Q3345669,2,
343,martingale representation theorem,N/A,0,Q6777133,2,Q6777133,2,
344,clarkoconehaussman formula,N/A,,N/A,,Q5127710,1,
345,volterra operator,N/A,0,Q5313336,2,Q5313336,2,
346,retarded differential equation,N/A,,N/A,,N/A,0,
347,hereditary structure,N/A,,N/A,,N/A,0,
348,homeomorphism,Q202906,2,Q202906,2,Q202906,2,
349,unimodular group,N/A,,N/A,,Q1162676,2,
350,upper triangular matrix,N/A,,N/A,,Q506265,1,
351,irreducible complex character,N/A,,N/A,,N/A,0,
352,regular character,Q24964251,2,Q24964251,2,Q24964251,2,
353,reductive group,Q1006450,2,Q1006450,2,Q1006450,2,
354,finite field,Q603880,2,Q603880,2,Q603880,2,
355,character sheaf,N/A,,N/A,,N/A,0,
356,mackey formula,N/A,,N/A,,N/A,0,
357,induced representation,N/A,0,Q3427423,2,Q3427423,2,
358,harishchandra induction,N/A,,N/A,,N/A,0,
359,lusztig induction,N/A,,N/A,,N/A,0,
360,frobenius morphisms,N/A,,N/A,,N/A,0,
361,hopf galois theory,N/A,,N/A,,N/A,0,
362,faithfully flat right galois extension,N/A,,N/A,,N/A,0,
363,left comodule algebra,N/A,,N/A,,N/A,0,
364,left galois extension,N/A,,N/A,,N/A,0,
365,bicomodules,N/A,,N/A,,N/A,0,
366,bigalois extension,N/A,,N/A,,N/A,0,
367,galois connection,N/A,0,Q1491747,2,Q1491747,2,
368,bijective antipode,N/A,,N/A,,N/A,0,
369,quotient coalgebras,N/A,,N/A,,Q1777803,1,
370,lattice hopf subalgebras,N/A,,N/A,,N/A,0,
371,tame extension,N/A,,N/A,,N/A,0,
372,class group,Q912083,1,N/A,0,Q912083,2,
373,hopf order,N/A,,N/A,,Q1627597,1,
374,realizable class,N/A,,N/A,,N/A,0,
375,galois module structure,N/A,,N/A,,Q3427418,1,
376,cocommutative separable hopf algebra,N/A,,N/A,,N/A,0,
377,pnilpotence,N/A,,N/A,,Q17099400,1,
378,number sylow subgroup,N/A,,N/A,,N/A,0,
379,finite group,Q1057968,2,Q1057968,2,Q1057968,2,
380,sylow theorem,N/A,,N/A,,Q1057919,1,
381,normal pcomplements,N/A,,N/A,,N/A,0,
382,matrix problem,N/A,,N/A,,Q58119533,2,
383,bipartite posets,N/A,,N/A,,N/A,0,
384,prinjective module,N/A,,N/A,,N/A,0,
385,tit quadratic form,N/A,,N/A,,N/A,0,
386,preprojective component,N/A,,N/A,,N/A,0,
387,finite partially ordered set,N/A,,N/A,,Q474715,1,
388,incidence algebra,Q371133,2,Q371133,2,Q371133,2,
389,indecomposable prinjective module,N/A,,N/A,,N/A,0,
390,critical bipartite posets,N/A,,N/A,,N/A,0,
391,auslanderreiten quiver,N/A,,N/A,,Q4822775,2,
392,virasoro algebra,N/A,0,Q1366201,2,Q1366201,2,
393,representation,Q2905654,2,Q249614,2,Q2905654,2,
394,code vertex operator algebra,N/A,,N/A,,N/A,0,
395,simple vertex operator algebra,N/A,,N/A,,Q28509,1,
396,rational conformal vector,N/A,,N/A,,N/A,0,
397,virasoro element,N/A,,N/A,,N/A,0,
398,elementary abelian automorphism 2group,N/A,,N/A,,N/A,0,
399,irreducible module,N/A,,N/A,,N/A,0,
400,fusion rule,N/A,,N/A,,N/A,0,
401,linearly topologized ring,N/A,,N/A,,N/A,0,
402,category equivalence,N/A,,N/A,,N/A,0,
403,category topologized module,N/A,,N/A,,N/A,0,
404,lower central series,N/A,,N/A,,N/A,0,
405,derivation,Q2762418,1,Q398804,2,Q398804,2,
406,superadditive sequence,N/A,,N/A,,N/A,0,
407,polynomial sequence,Q4762627,1,Q1052437,2,Q1052437,2,
408,solvability embedding problem,N/A,,N/A,,N/A,0,
409,obstruction,Q7075550,2,Q421560,2,Q1017338,2,
410,confluence,Q1140902,2,Q723748,2,Q1140902,2,
411,polynomial algebra,Q1455652,1,N/A,0,Q1455652,1,
412,quadratic algebra,Q7268354,2,Q7268354,2,Q7268354,2,
413,diamond lemma,Q1208706,1,N/A,0,Q1208706,1,
414,tensor algebra,Q2296021,2,Q2296021,2,Q2296021,2,
415,reduction operator,N/A,,N/A,,Q30589103,2,
416,generalized free product,N/A,,N/A,,N/A,0,
417,finitely generated torsionfree nilpotent group,N/A,,N/A,,N/A,0,
418,residually finite pgroups,N/A,,N/A,,N/A,0,
419,tree product,N/A,,N/A,,N/A,0,
420,essential cover,N/A,,N/A,,N/A,0,
421,generalized polynomial identity,N/A,,N/A,,N/A,0,
422,lattice radical,N/A,,N/A,,N/A,0,
423,complemented radical,N/A,,N/A,,N/A,0,
424,special radical,N/A,,N/A,,N/A,0,
425,matrix ring finite field,N/A,,N/A,,N/A,0,
426,semisimple class,N/A,,N/A,,N/A,0,
427,subdirect product,N/A,0,Q1691827,2,Q1691827,2,
428,direct sum simple ring,N/A,,N/A,,N/A,0,
429,kacmoody algebra,N/A,,N/A,,Q856666,2,
430,lie superalgebras,N/A,,N/A,,Q56213748,2,
431,borel algebra,N/A,,N/A,,Q1080067,2,
432,generalized root decomposition,N/A,,N/A,,N/A,0,
433,representation lie superalgebras,N/A,,N/A,,Q7314199,2,
434,weak kacmoody superalgebras,N/A,,N/A,,N/A,0,
435,lie group,N/A,0,Q622679,2,Q622679,2,
436,symplectic reduction,N/A,,N/A,,N/A,0,
437,plurisubharmonic,N/A,,N/A,,Q7205565,2,
438,moment map,Q6897118,2,Q6897118,2,Q6897118,2,
439,complex reductive lie group,N/A,,N/A,,N/A,0,
440,stein manifold,N/A,0,Q931187,2,Q931187,2,
441,spectral collocation method,N/A,,N/A,,Q1779479,1,
442,triangular element,N/A,,N/A,,N/A,0,
443,auxiliary mapping,N/A,,N/A,,N/A,0,
444,preconditioning,Q1754327,2,N/A,0,Q1754327,2,
445,domain decomposition,N/A,,N/A,,Q5289813,1,
446,chebyshev collocation method,N/A,,N/A,,N/A,0,
447,singular solution,N/A,2,Q4338245,2,Q4338245,2,
448,finite difference,Q2068418,2,Q2068418,2,Q2068418,2,
449,iterative solver,N/A,,N/A,,N/A,0,
450,molecular distance,N/A,,N/A,,N/A,0,
451,unequal rate,N/A,,N/A,,N/A,0,
452,gamma distribution,Q117806,2,Q117806,2,Q117806,2,
453,synonymous site,N/A,,N/A,,N/A,0,
454,base frequency,N/A,,N/A,,N/A,0,
455,direct numerical simulation,Q1227572,2,Q1227572,2,Q1227572,2,
456,fully developed turbulent channel flow,N/A,,N/A,,N/A,0,
457,loworder finite difference method,N/A,,N/A,,N/A,0,
458,taylor expansion,N/A,,N/A,,Q18123018,2,
459,coriolis force,N/A,0,Q169973,2,Q169973,2,
460,effective angular velocity,N/A,,N/A,,N/A,0,
461,polynomial decay,N/A,,N/A,,N/A,0,
462,travelling wave,N/A,,N/A,,Q59038264,2,
463,critical front speed,N/A,,N/A,,N/A,0,
464,regularity,N/A,,N/A,,Q4184950,2,
465,driftdiffusion equation,N/A,,N/A,,N/A,0,
466,maxwell equation,N/A,,N/A,,Q51501,2,
467,chargetransport,N/A,,N/A,,Q30673883,1,
468,semiconductor,Q16917939,1,Q11456,2,Q11456,2,
469,sobolevembedding theorem,N/A,,N/A,,Q3711848,1,
470,fractional order sobolev space,N/A,,N/A,,Q1501536,1,
471,hölder linearization,N/A,,N/A,,N/A,0,
472,hartman grobman theorem,N/A,,N/A,,Q211981,2,
473,neutral partial functional differential equation,N/A,,N/A,,N/A,0,
474,nondense domain,N/A,,N/A,,N/A,0,
475,uniqueness,Q2502253,1,Q22976830,2,Q22976830,2,
476,water wave problem,N/A,,N/A,,N/A,0,
477,kdv equation,N/A,,N/A,,Q601796,2,
478,nls equation,N/A,,N/A,,N/A,0,
479,approximation,Q27058,2,Q27058,2,Q27058,2,
480,estimate hausdorff dimension,N/A,,N/A,,N/A,0,
481,local scaling limit,N/A,,N/A,,N/A,0,
482,point solution,N/A,,N/A,,N/A,0,
483,sublinear elliptic boundary value problem,N/A,,N/A,,N/A,0,
484,holomorphic perturbation boundary,N/A,,N/A,,N/A,0,
